
merge_1k,0.932,0.916,1.605,0.557,0.544,0.564,0.599,0.591,0.768,0.434,0.7510834000000001,
heap_1k,0.467,0.401,0.490,0.614,0.428,0.382,0.399,0.382,0.368,0.511,0.4441790000000001,
bubble_1k,1.493,1.451,1.495,1.775,1.496,1.510,1.566,1.398,1.489,1.397,1.5069167,
insertion_1k,0.514,0.477,0.494,0.671,0.564,0.473,0.457,0.443,0.448,0.456,0.4999251,
selection_1k,1.154,1.055,1.160,1.231,1.264,1.059,1.137,1.012,1.094,1.094,1.1259959000000002,
quick_1k,0.372,0.368,0.319,0.411,0.680,0.310,0.309,0.279,0.270,0.265,0.3582875,
library_1k,4.351,0.645,0.722,0.787,0.602,0.604,0.572,0.557,0.562,0.558,0.9959625000000003,
timsort_1k,1.387,0.997,0.683,0.827,0.640,0.619,0.610,0.605,0.599,0.623,0.7589541000000001,
cocktail_1k,1.715,1.199,1.498,2.452,5.155,2.805,2.770,1.678,1.612,1.573,2.2456625000000003,
comb_1k,0.802,0.794,0.851,0.770,0.558,0.548,0.530,0.545,0.537,0.564,0.6498418,
tournament_1k,0.909,0.864,0.923,1.026,0.959,0.876,0.835,0.843,0.810,0.783,0.8828332999999999,
intro_1k,0.517,0.472,0.481,0.643,0.499,0.466,0.481,0.464,0.452,0.467,0.4941249,
merge_10k,4.481,4.505,4.107,3.442,4.138,3.646,11.935,3.624,2.753,3.430,4.6059832,
heap_10k,3.378,2.792,2.400,2.303,2.462,2.279,2.304,2.316,2.333,2.357,2.4923665,
bubble_10k,225.667,227.237,225.912,137.600,140.159,136.303,139.805,140.761,233.516,142.260,174.9219457,
insertion_10k,38.082,35.617,34.784,34.584,34.400,34.066,34.126,33.995,34.353,34.410,34.8416501,
selection_10k,134.630,133.957,134.835,94.478,136.219,134.346,135.245,137.700,95.626,96.685,123.3720959,
quick_10k,1.946,1.495,1.450,1.401,1.539,1.472,1.401,1.164,1.306,1.289,1.4461958,
library_10k,23.284,21.846,21.943,21.878,21.115,21.397,20.710,21.169,21.607,20.832,21.5781292,
timsort_10k,5.082,1.790,1.606,1.597,1.635,1.599,1.579,1.582,1.582,1.264,1.9315166000000001,
cocktail_10k,114.196,131.113,130.894,116.795,116.651,115.678,125.134,118.623,115.941,115.734,120.0758667,
comb_10k,3.057,2.446,2.508,2.484,2.492,2.221,2.381,2.374,2.397,2.050,2.4410332000000006,
tournament_10k,126.731,139.937,131.630,85.830,87.800,87.475,92.844,130.535,178.927,167.892,122.9601083,
intro_10k,4.540,1.402,1.412,1.365,1.380,1.377,1.377,1.359,1.401,1.421,1.7032874999999996,
merge_100k,40.816,38.234,35.170,34.255,33.557,33.518,37.548,46.355,40.521,37.913,37.7887001,
heap_100k,30.885,30.348,27.745,27.113,26.642,27.501,28.716,27.043,26.294,28.816,28.110195999999995,
bubble_100k,41271.630,40324.341,39965.081,39987.862,39781.515,39717.644,39996.977,39196.749,39069.352,39094.060,39840.521016700004,
insertion_100k,4498.816,4358.299,4332.881,4445.140,4358.430,4321.555,4322.199,4441.760,4357.567,4343.161,4377.9808957000005,
selection_100k,9571.771,9604.531,9602.159,9514.805,9616.571,9513.983,9588.698,9614.235,9514.722,9607.679,9574.9152416,
quick_100k,21.670,16.759,16.692,16.017,17.217,53.867,27.322,19.854,16.210,16.055,22.1661918,
library_100k,1941.671,1930.059,1945.103,1919.972,1908.419,2007.272,1980.638,1935.712,1958.371,2018.653,1954.5869749999997,
timsort_100k,25.441,23.896,19.328,22.763,21.888,24.861,24.722,22.525,21.009,25.126,23.1558002,
cocktail_100k,23328.928,23280.741,23583.033,23332.772,23642.264,23852.929,23571.278,23732.993,23657.127,23340.414,23532.247916500004,
comb_100k,37.329,33.399,32.989,33.022,32.108,33.232,33.379,32.773,32.120,31.635,33.1984792,
tournament_100k,7981.912,8060.996,7976.214,7984.443,7971.401,8029.307,7965.568,8043.336,8060.992,8135.305,8020.9475625,
intro_100k,20.883,15.527,16.140,15.131,14.811,15.191,15.030,15.207,14.891,14.706,15.751653999999998,
merge_1m,438.752,439.366,444.984,443.016,440.977,442.931,432.665,445.213,433.333,459.387,442.0623168,
heap_1m,803.380,760.183,758.686,758.389,764.212,758.268,767.852,762.365,761.704,763.708,765.8746586,
quick_1m,279.389,277.420,300.885,282.895,279.298,280.627,277.648,280.576,282.167,300.782,284.1686292,
timsort_1m,360.110,349.908,361.164,375.599,387.791,422.388,367.755,363.669,391.573,383.871,376.38281250000006,
comb_1m,1078.418,966.501,963.049,968.151,964.066,967.355,958.335,964.332,966.471,968.040,976.4717751000001,
intro_1m,262.696,262.235,264.774,266.933,264.638,264.514,265.311,264.134,263.922,263.991,264.3147,
