
merge_1k,0.960,0.600,0.524,0.549,0.535,0.540,0.544,0.548,0.554,0.554,0.5908035278320313,
heap_1k,0.960,0.120,0.130,0.113,0.115,0.120,0.120,0.124,0.133,0.139,0.20735702514648438,
bubble_1k,0.960,0.120,0.100,0.105,0.100,0.101,0.107,0.110,0.118,0.124,0.19449234008789062,
insertion_1k,0.960,0.120,0.100,0.105,0.100,0.101,0.107,0.110,0.118,0.124,0.19449234008789062,
selection_1k,0.960,0.120,0.100,0.105,0.100,0.101,0.107,0.110,0.118,0.124,0.19449234008789062,
quick_1k,0.960,0.120,0.100,0.105,0.100,0.101,0.107,0.110,0.118,0.124,0.19449234008789062,
library_1k,0.960,0.120,0.112,0.116,0.116,0.119,0.121,0.126,0.133,0.140,0.20637664794921876,
timsort_1k,0.960,0.241,0.141,0.142,0.145,0.150,0.153,0.158,0.164,0.168,0.2420196533203125,
cocktail_1k,0.960,0.120,0.100,0.105,0.100,0.101,0.107,0.110,0.118,0.124,0.19449234008789062,
comb_1k,0.960,0.120,0.100,0.105,0.100,0.101,0.107,0.110,0.118,0.124,0.19449234008789062,
tournament_1k,0.960,0.120,0.130,0.113,0.115,0.120,0.120,0.124,0.133,0.139,0.20735702514648438,
intro_1k,0.960,0.120,0.100,0.105,0.100,0.101,0.107,0.110,0.118,0.124,0.19449234008789062,
merge_10k,5.921,2.535,2.630,2.009,2.710,5.158,2.361,2.703,6.000,2.612,3.4639625549316406,
heap_10k,1.956,1.111,1.114,1.124,1.115,1.114,1.118,1.117,1.118,1.141,1.2027252197265625,
bubble_10k,0.960,0.960,0.974,0.952,0.970,0.959,0.967,0.965,0.967,0.975,0.9648345947265625,
insertion_10k,0.960,0.960,0.974,0.952,0.970,0.959,0.967,0.965,0.967,0.975,0.9648345947265625,
selection_10k,0.960,0.960,0.974,0.952,0.970,0.959,0.967,0.965,0.967,0.975,0.9648345947265625,
quick_10k,0.960,0.960,0.974,0.952,0.970,0.959,0.967,0.965,0.967,0.975,0.9648345947265625,
library_10k,1.944,1.224,1.134,1.130,1.131,1.142,1.139,1.138,1.160,1.138,1.2278953552246095,
timsort_10k,1.920,1.813,1.638,1.642,1.638,1.639,1.639,1.674,1.642,1.641,1.6885208129882812,
cocktail_10k,0.960,0.960,0.974,0.952,0.970,0.959,0.967,0.965,0.967,0.975,0.9648345947265625,
comb_10k,0.960,0.960,0.974,0.952,0.970,0.959,0.967,0.965,0.967,0.975,0.9648345947265625,
tournament_10k,1.956,1.111,1.114,1.116,1.114,1.115,1.119,1.118,1.121,1.119,1.2001922607421875,
intro_10k,0.960,0.960,0.974,0.952,0.970,0.959,0.967,0.965,0.967,0.975,0.9648345947265625,
merge_100k,11.040,15.334,13.257,13.257,13.257,13.257,13.256,10.500,46.377,13.323,16.28599624633789,
heap_100k,8.866,10.121,9.613,10.253,9.865,9.920,9.871,10.017,9.962,10.049,9.853658294677734,
bubble_100k,8.607,8.714,8.751,8.781,8.610,8.751,8.750,8.750,8.750,8.750,8.721385192871093,
insertion_100k,8.371,8.901,8.749,8.634,8.755,8.751,8.750,8.750,8.750,8.750,8.715937042236328,
selection_100k,8.607,8.715,8.751,8.781,8.755,8.751,8.750,8.750,8.750,8.750,8.735932922363281,
quick_100k,8.607,8.708,8.749,8.773,8.760,8.749,8.748,8.750,8.749,8.750,8.734424591064453,
library_100k,9.265,10.140,9.266,9.302,8.904,8.905,9.306,8.905,8.905,9.707,9.260335540771484,
timsort_100k,10.923,8.972,17.964,10.683,10.745,14.326,8.933,10.744,14.235,11.010,11.853561401367188,
cocktail_100k,8.371,8.712,8.750,8.634,8.755,8.751,8.750,8.750,8.750,8.750,8.69711685180664,
comb_100k,8.607,8.715,8.751,8.626,8.760,8.749,8.748,8.750,8.749,8.750,8.720597839355468,
tournament_100k,9.072,9.584,8.381,10.044,10.127,10.086,9.986,9.904,9.983,9.974,9.714040374755859,
intro_100k,8.607,8.687,8.742,8.771,8.759,8.749,8.748,8.750,8.749,8.750,8.731320190429688,
merge_1m,138.825,372.130,242.651,128.040,251.947,131.274,242.786,116.438,256.966,142.391,202.34481506347657,
heap_1m,116.507,115.876,116.876,116.876,117.876,117.876,114.587,116.348,114.507,115.429,116.2756576538086,
quick_1m,99.609,96.669,96.667,97.589,96.667,96.667,97.627,97.586,96.667,95.745,97.14925155639648,
timsort_1m,154.822,168.753,166.459,167.511,167.322,166.078,159.319,165.322,162.254,168.832,164.66712799072266,
comb_1m,99.211,97.204,98.454,96.663,97.713,96.454,96.663,98.318,95.748,96.454,97.28817596435547,
intro_1m,95.643,97.633,95.632,99.632,95.632,95.632,98.708,97.632,95.632,96.708,96.84847030639648,
