
merge,1k0.841,0.764,0.477,0.454,0.330,0.319,0.306,0.325,0.428,0.318,
heap,1k0.760,0.387,0.380,0.481,0.408,0.384,0.640,0.354,0.332,0.351,
bubble,1k0.357,0.351,0.318,0.472,0.432,0.305,0.296,0.285,0.271,0.262,
insertion,1k0.366,0.341,0.339,0.453,0.376,0.335,0.353,0.322,0.317,0.311,
selection,1k1.404,0.528,0.550,0.693,0.542,0.534,0.521,0.507,0.498,0.527,
quick,1k1.284,1.285,1.354,1.492,1.607,1.279,1.305,1.261,1.277,1.269,
library,1k0.642,0.539,0.549,0.754,0.561,0.531,1.030,0.502,0.472,0.443,
timsort,1k0.833,3.549,3.208,0.571,0.403,0.500,0.368,0.354,0.314,0.332,
cocktail,1k0.326,0.300,0.302,0.433,0.324,0.303,0.319,0.282,0.265,0.263,
comb,1k1.004,0.659,0.675,0.799,0.776,0.667,0.482,0.476,0.451,0.460,
tournament,1k0.689,0.700,0.680,0.854,0.694,0.687,0.652,0.637,0.620,0.586,
intro,1k1.244,0.722,0.747,0.896,1.253,0.798,0.739,0.787,0.703,0.723,
merge,10k2.656,5.464,3.538,2.617,3.345,11.945,13.799,5.317,2.137,2.238,
heap,10k2.721,2.007,2.142,1.876,1.819,1.702,1.715,1.693,1.729,1.727,
bubble,10k1.725,1.104,1.137,1.129,0.816,0.819,0.862,0.798,0.914,0.561,
insertion,10k2.170,1.418,1.550,1.156,0.895,0.876,0.857,0.857,0.970,0.869,
selection,10k117.421,117.862,119.962,51.541,52.838,51.452,53.497,51.479,51.856,52.822,
quick,10k107.395,106.230,106.229,105.663,106.948,106.232,104.995,105.431,105.439,106.432,
library,10k18.965,18.508,19.171,18.172,18.237,18.559,17.812,17.800,17.723,17.691,
timsort,10k3.374,3.067,0.807,0.792,0.847,0.790,0.853,0.769,0.841,0.792,
cocktail,10k1.509,1.052,1.111,1.041,0.850,0.818,0.939,0.734,0.870,0.831,
comb,10k1.520,1.338,1.166,1.097,1.106,1.125,1.101,1.095,1.166,0.833,
tournament,10k112.531,111.790,111.948,60.666,93.829,60.209,57.516,58.424,58.696,60.154,
intro,10k2.987,2.436,2.323,2.295,2.632,2.354,2.002,2.102,2.128,2.113,
merge,100k29.776,24.287,21.990,21.271,23.909,21.272,21.113,21.031,20.645,23.881,
heap,100k20.359,20.165,17.409,17.061,15.790,16.877,18.053,16.661,15.923,16.475,
bubble,100k7.276,3.603,4.053,3.428,3.712,3.330,4.253,3.918,4.511,3.746,
insertion,100k6.529,3.576,4.015,3.637,3.168,3.246,3.282,3.109,3.100,3.094,
selection,100k5838.716,5284.564,5323.656,5270.669,5377.370,5342.760,5288.466,5285.715,5273.164,5304.795,
library,100k1704.306,1712.816,1731.626,1724.076,1713.534,1720.537,1713.680,1708.957,1717.697,1729.959,
timsort,100k12.124,14.864,12.074,11.843,11.489,11.124,11.510,11.696,11.426,11.104,
cocktail,100k6.344,3.536,3.996,3.491,3.236,3.198,3.295,3.275,3.174,3.166,
comb,100k15.327,11.614,11.758,11.207,10.950,10.757,10.933,10.903,10.893,10.787,
tournament,100k5923.009,6197.974,5794.948,5764.859,5829.076,5737.333,5753.630,5731.214,5811.007,5750.847,
intro,100k35.460,23.500,23.772,23.057,22.828,23.100,27.709,24.899,56.032,22.962,
merge,1m228.056,177.596,203.133,190.698,193.238,188.523,191.786,199.794,195.154,196.790,
heap,1m315.040,313.775,314.901,315.507,318.740,314.641,315.572,314.554,318.005,318.660,
bubble,1m43.530,48.491,50.242,53.508,50.541,50.657,49.163,49.180,49.397,49.105,
insertion,1m46.542,48.183,51.859,51.595,52.729,51.006,50.429,50.036,52.181,52.487,
library,1m173420.481,172702.831,173939.617,173067.717,174355.214,172834.983,173616.672,173330.674,173093.212,172550.024,
timsort,1m246.642,238.182,223.548,247.228,244.911,204.511,238.582,248.504,243.844,258.628,
cocktail,1m45.686,44.708,47.655,47.641,47.759,45.002,49.401,47.477,48.561,47.619,
comb,1m166.273,163.029,168.699,164.462,167.335,166.486,163.460,158.998,165.563,165.145,
